StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q6,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your participant ID?,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,"How successful were you in accomplishing what
you were asked to do?","How hard did you have to work to accomplish
your level of performance?","How insecure, discouraged, irritated, stressed,
and annoyed were you?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2021-11-07 11:41:37,2021-11-07 11:43:18,0,8.9.80.175,100,101,1,2021-11-07 11:43:19,R_ZynJrtZRVOGYhNf,,,,,43.220703125,-77.5991973876953125,anonymous,EN,as012,5,13,6,10,11,8
2021-11-10 09:29:44,2021-11-10 09:30:56,0,98.3.27.5,100,72,1,2021-11-10 09:30:57,R_r7TGR6IyJAtSWaZ,,,,,43.1139984130859375,-77.56890106201171875,anonymous,EN,as021,5,2,4,3,5,3
2021-11-12 13:00:42,2021-11-12 13:02:50,0,68.180.87.9,100,128,1,2021-11-12 13:02:51,R_1LdKXYZgsdCWVpb,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,kn012,18,8,4,17,18,18
2021-11-12 18:28:55,2021-11-12 18:29:52,0,73.6.37.227,100,56,1,2021-11-12 18:29:52,R_1f70jK4LpwopsRm,,,,,29.673095703125,-95.585601806640625,anonymous,EN,sl021,12,12,11,16,16,15
2021-11-12 20:41:55,2021-11-12 20:43:12,0,8.9.87.190,100,76,1,2021-11-12 20:43:12,R_31XkrMQbFW1d8rY,,,,,43.1443939208984375,-77.50569915771484375,anonymous,EN,nk012,13,9,10,13,15,15
2021-11-13 08:10:28,2021-11-13 08:11:16,0,68.180.86.28,100,48,1,2021-11-13 08:11:16,R_2fkaVIDbjftOEkv,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,ja021,14,7,16,5,10,6
2021-11-13 12:05:50,2021-11-13 12:06:49,0,67.246.240.97,100,58,1,2021-11-13 12:06:49,R_3smOk4u9XXaFKGY,,,,,43.0908050537109375,-77.4347991943359375,anonymous,EN,rj012,20,20,8,3,9,14
2021-11-14 10:04:09,2021-11-14 10:06:20,0,8.9.80.166,100,131,1,2021-11-14 10:06:21,R_yw19ZB4olGTpESl,,,,,43.220703125,-77.5991973876953125,anonymous,EN,ky021,1,10,6,5,3,10
2021-11-14 11:48:48,2021-11-14 11:50:25,0,174.61.168.233,100,96,1,2021-11-14 11:50:25,R_2ZQFnRoDf5nBfWE,,,,,47.6143951416015625,-122.344696044921875,anonymous,EN,yz012,8,14,9,8,9,4
2021-11-14 21:45:45,2021-11-14 21:46:48,0,64.251.151.197,100,62,1,2021-11-14 21:46:49,R_3HAeWwa6lVB9Wf9,,,,,37.9474945068359375,-91.76360321044921875,anonymous,EN,sc021,4,10,8,3,2,4
2021-11-15 17:09:31,2021-11-15 17:11:39,0,73.163.155.227,100,127,1,2021-11-15 17:11:39,R_33fMTYxH6Ir5F86,,,,,39.3406982421875,-76.67530059814453125,anonymous,EN,zz012,6,8,5,15,8,3
2021-11-15 20:05:50,2021-11-15 20:07:47,0,67.251.100.48,100,116,1,2021-11-15 20:07:47,R_3HFTC7KTXzfger4,,,,,42.0825042724609375,-75.90039825439453125,anonymous,EN,kz021,10,3,5,17,15,7
2021-11-16 08:43:39,2021-11-16 08:45:11,0,107.77.225.227,100,91,1,2021-11-16 08:45:11,R_1oCoo6RKSox7JyF,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,ce012,10,1,5,13,14,5
2021-11-16 18:11:52,2021-11-16 18:13:23,0,108.26.197.36,100,91,1,2021-11-16 18:13:24,R_1cU1YAAJiameiUH,,,,,42.3291015625,-71.1815032958984375,anonymous,EN,ca012,15,15,10,5,15,15
2021-11-16 20:39:43,2021-11-16 20:40:46,0,68.47.181.51,100,63,1,2021-11-16 20:40:46,R_2QPtzJo7cTc4oTb,,,,,36.131500244140625,-86.80190277099609375,anonymous,EN,sy021,10,14,10,16,16,5
