StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q6,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your participant ID?,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,"How successful were you in accomplishing what
you were asked to do?","How hard did you have to work to accomplish
your level of performance?","How insecure, discouraged, irritated, stressed,
and annoyed were you?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}"
2021-11-07 12:15:15,2021-11-07 12:16:01,0,8.9.80.175,100,46,1,2021-11-07 12:16:02,R_2AKaIO5tusqIBDH,,,,,43.220703125,-77.5991973876953125,anonymous,EN,as012,9,16,8,14,12,10
2021-11-10 10:15:58,2021-11-10 10:16:33,0,98.3.27.5,100,35,1,2021-11-10 10:16:34,R_3NysYR1YnuyRIFF,,,,,43.1139984130859375,-77.56890106201171875,anonymous,EN,as021,3,5,4,3,4,3
2021-11-12 13:32:04,2021-11-12 13:32:49,0,68.180.87.9,100,45,1,2021-11-12 13:32:50,R_1OTeuXNZu2eQk28,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,kn012,15,7,6,12,18,18
2021-11-12 19:21:53,2021-11-12 19:22:19,0,73.6.37.227,100,26,1,2021-11-12 19:22:19,R_R3oyoDedkuYSjCx,,,,,29.673095703125,-95.585601806640625,anonymous,EN,sl021,3,3,3,2,2,2
2021-11-12 21:09:21,2021-11-12 21:09:53,0,8.9.87.190,100,32,1,2021-11-12 21:09:54,R_2bO7TacO77j7jyO,,,,,43.1443939208984375,-77.50569915771484375,anonymous,EN,nk012,10,13,10,15,13,10
2021-11-13 08:59:51,2021-11-13 09:00:21,0,68.180.86.28,100,29,1,2021-11-13 09:00:21,R_8DsXVcqt1dBe7Xb,,,,,43.0800933837890625,-77.6342010498046875,anonymous,EN,ja021,7,6,11,5,15,8
2021-11-13 12:31:43,2021-11-13 12:32:10,0,67.246.240.97,100,26,1,2021-11-13 12:32:10,R_3OdBAAQELdOeR07,,,,,43.0908050537109375,-77.4347991943359375,anonymous,EN,rj012,20,20,3,3,6,7
2021-11-14 11:08:34,2021-11-14 11:09:19,0,8.9.80.166,100,45,1,2021-11-14 11:09:19,R_3dYpLgZYg1lcxG1,,,,,43.220703125,-77.5991973876953125,anonymous,EN,ky021,1,3,1,2,1,2
2021-11-14 12:15:21,2021-11-14 12:15:58,0,174.61.168.233,100,37,1,2021-11-14 12:15:59,R_2YKstER0xR0CN0Z,,,,,47.6143951416015625,-122.344696044921875,anonymous,EN,yz012,7,12,9,9,7,3
2021-11-14 22:30:22,2021-11-14 22:30:56,0,64.251.151.197,100,33,1,2021-11-14 22:30:56,R_1RMYgGoGa6ImVA5,,,,,37.9474945068359375,-91.76360321044921875,anonymous,EN,sc021,2,2,2,2,3,3
2021-11-15 17:36:08,2021-11-15 17:36:52,0,73.163.155.227,100,43,1,2021-11-15 17:36:53,R_2Ck87Eno74UentO,,,,,39.3406982421875,-76.67530059814453125,anonymous,EN,zz012,4,4,2,18,5,2
2021-11-15 20:58:39,2021-11-15 20:59:21,0,67.251.100.48,100,42,1,2021-11-15 20:59:22,R_28MUEWnVF7cKyY8,,,,,42.0825042724609375,-75.90039825439453125,anonymous,EN,kz021,4,5,5,7,5,5
2021-11-16 09:07:22,2021-11-16 09:08:17,0,107.77.225.227,100,54,1,2021-11-16 09:08:17,R_1i2Oc1P8KpGoVQV,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,ce012,5,1,6,12,13,4
2021-11-16 18:33:28,2021-11-16 18:34:07,0,108.26.197.36,100,39,1,2021-11-16 18:34:07,R_2dgRjMCi3vj2FAB,,,,,42.3291015625,-71.1815032958984375,anonymous,EN,ca012,10,10,5,5,8,10
2021-11-16 21:39:46,2021-11-16 21:40:08,0,68.47.181.51,100,21,1,2021-11-16 21:40:08,R_3Phr1JHUT416MEY,,,,,36.131500244140625,-86.80190277099609375,anonymous,EN,sy021,7,9,8,17,10,4
